ax,ay,az,gx,gy,gz,timestamp
-446.78,106.41,916.52,4.30,60.74,-11.04,1764851102.9072044
-446.51,104.55,905.79,5.46,69.63,13.12,1764851102.9105153
-447.78,112.71,899.22,2.84,61.28,22.55,1764851102.911528
-447.67,123.11,895.59,8.11,41.89,20.07,1764851102.9139397
-446.82,130.89,894.90,-3.00,47.91,22.16,1764851102.9143853
-447.59,131.66,891.46,-8.55,44.02,19.43,1764851102.9143853
-447.95,127.51,882.54,-6.37,43.42,19.52,1764851102.9143853
-446.91,120.23,873.01,-1.81,44.10,20.19,1764851102.9197621
-446.32,116.90,873.91,-3.34,34.19,22.56,1764851102.9218552
-447.93,122.76,875.72,-2.84,14.66,21.28,1764851102.9218552
-448.69,136.15,880.12,-4.21,1.06,15.69,1764851102.9249086
-448.28,148.28,881.60,2.42,-7.50,7.03,1764851102.9286835
-446.14,146.58,878.96,0.25,-12.37,-21.62,1764851102.934721
-445.97,131.65,884.66,6.52,-14.72,-4.28,1764851102.9367557
-445.97,125.70,896.57,4.34,-26.61,-15.04,1764851102.9387658
-446.13,127.99,900.98,-11.31,-24.42,-0.48,1764851102.9407427
-444.31,131.45,895.58,-8.41,-25.56,4.99,1764851102.9425626
-444.86,135.13,891.45,5.75,-26.52,5.14,1764851102.943847
-447.13,140.06,887.78,18.69,-15.04,-17.53,1764851102.945221
-445.61,138.55,886.31,9.58,-17.89,-17.90,1764851102.9476626
-445.22,132.02,891.67,2.75,-26.00,-2.01,1764851102.9502127
-444.14,132.32,899.67,17.03,-2.60,5.19,1764851102.951551
-441.12,141.57,904.37,19.28,16.09,-1.29,1764851102.951551
-438.55,145.83,901.76,20.29,12.47,7.30,1764851102.951551
-438.47,142.71,894.75,31.64,17.20,7.11,1764851102.956255
-436.00,134.95,887.58,36.20,2.32,6.94,1764851102.9572673
-435.25,130.91,886.60,32.57,-3.13,-1.90,1764851102.9585545
-434.91,127.32,887.71,34.28,-7.46,-12.11,1764851102.9604955
-435.97,129.97,884.30,15.94,-9.94,-5.20,1764851102.9604955
-436.13,134.78,878.86,5.15,-29.15,0.98,1764851102.963118
-436.11,138.26,882.63,-9.72,-37.08,22.73,1764851102.9653132
-437.89,137.32,895.58,0.74,-35.11,9.12,1764851102.9667253
-437.76,133.07,912.15,13.22,-25.35,9.86,1764851102.968581
-437.64,124.06,924.57,1.64,-10.75,6.28,1764851102.9696224
-437.10,120.45,933.04,-9.41,-0.43,9.84,1764851102.9713843
-435.88,127.29,942.33,-9.19,14.03,16.16,1764851102.9730508
-436.80,139.09,944.68,-0.62,11.03,18.24,1764851102.974096
