ax,ay,az,gx,gy,gz,timestamp
-403.37,30.19,1056.62,119.17,203.82,-30.88,1764851059.685363
-403.01,17.26,1032.38,147.79,217.64,-42.44,1764851059.689674
-405.41,-0.33,1009.97,144.82,244.70,-27.08,1764851059.693526
-406.85,-8.53,974.58,152.80,270.39,-26.32,1764851059.6969314
-408.22,-1.55,922.59,162.88,271.83,-15.17,1764851059.699819
-410.59,13.83,865.65,183.75,286.86,-9.89,1764851059.7024686
-413.35,24.81,824.30,181.09,257.63,-3.31,1764851059.7042747
-414.95,28.14,786.76,156.92,231.89,-11.21,1764851059.705789
-416.46,31.12,757.10,141.18,198.60,3.97,1764851059.707302
-416.84,29.45,738.48,154.81,156.81,-8.93,1764851059.709
-419.56,24.13,726.11,117.19,102.39,-3.39,1764851059.709
-421.73,23.06,720.69,78.91,64.23,6.72,1764851059.711104
-424.17,35.20,727.34,32.27,9.00,27.01,1764851059.71416
-425.79,54.37,735.09,28.03,-28.95,36.76,1764851059.7152112
-429.12,72.02,751.72,-1.37,-78.01,26.45,1764851059.7152112
-432.56,83.11,786.27,-10.17,-111.01,12.88,1764851059.718284
-434.12,91.05,821.78,-16.14,-117.16,0.15,1764851059.718284
-434.70,82.79,849.41,-34.42,-133.18,-1.97,1764851059.718284
-435.05,71.12,872.45,-43.06,-141.41,-14.28,1764851059.7236073
-436.09,64.80,902.38,-45.30,-152.00,-29.24,1764851059.7246716
-436.08,58.38,934.87,-55.60,-152.90,-26.05,1764851059.7246716
-437.27,52.78,969.84,-48.76,-143.76,-18.84,1764851059.7281837
-436.18,52.66,1013.97,-37.25,-113.20,-18.12,1764851059.7281837
-434.80,57.51,1052.97,-14.86,-80.92,-25.00,1764851059.7321246
-431.98,60.58,1073.53,-3.63,-36.08,-25.45,1764851059.7321246
-429.73,58.25,1076.45,10.71,-2.17,-22.23,1764851059.7354321
-427.52,52.66,1068.13,34.01,38.06,-14.40,1764851059.7354321
-427.89,45.51,1051.16,26.50,74.35,-3.84,1764851059.7397213
-426.11,40.48,1027.44,42.33,89.00,-6.56,1764851059.7415612
-424.14,38.01,1009.37,71.68,112.85,-12.78,1764851059.7428849
-423.82,38.31,988.47,80.73,134.92,6.84,1764851059.7452257
-422.95,39.31,962.90,89.02,145.88,-4.99,1764851059.7469754
-425.06,35.97,929.91,59.77,150.10,8.66,1764851059.7480588
-426.85,37.02,905.77,52.30,164.78,9.16,1764851059.7480588
-430.02,41.67,880.46,43.56,160.17,-0.01,1764851059.7513416
-433.62,49.97,873.79,35.22,152.94,1.19,1764851059.753786
-437.13,56.42,875.02,26.64,140.50,17.81,1764851059.753786
-439.96,59.21,881.32,16.34,112.53,1.94,1764851059.7571454
-446.56,54.53,888.62,17.49,112.75,8.55,1764851059.7571454
-455.03,57.90,903.38,13.97,108.73,15.07,1764851059.7571454
-462.67,67.96,922.07,-3.73,114.02,7.41,1764851059.7618868
-466.02,83.12,944.56,-4.37,108.92,-4.20,1764851059.7644315
-467.97,90.30,969.08,3.79,110.28,-21.57,1764851059.7654493
-467.52,86.06,998.61,22.72,126.44,-20.44,1764851059.7678478
-469.70,71.65,1027.77,38.51,168.07,-28.77,1764851059.768407
-470.19,45.75,1034.86,25.23,207.66,-23.56,1764851059.7717185
-469.86,29.29,1029.03,35.25,239.51,-18.22,1764851059.7734187
-468.68,23.39,1014.62,46.46,277.69,-23.29,1764851059.7734187
-466.78,33.09,993.98,58.99,307.43,-16.20,1764851059.7734187
-465.31,51.67,967.13,70.24,330.32,-5.07,1764851059.7779765
-464.22,64.47,950.76,71.41,347.07,2.89,1764851059.7817078
-466.58,82.25,915.40,98.50,375.71,-2.64,1764851059.7817078
-467.55,102.16,868.24,133.22,395.25,-13.04,1764851059.784465
-466.26,104.24,826.35,137.84,410.07,-34.19,1764851059.7879179
-466.82,87.25,771.85,153.76,392.06,-45.86,1764851059.7894833
-469.85,60.37,718.17,142.70,369.55,-47.68,1764851059.791104
-471.22,41.41,672.70,126.09,323.42,-50.73,1764851059.794487
-470.29,29.95,607.49,103.88,281.50,-18.22,1764851059.7966168
-472.20,27.41,555.82,102.10,223.68,-20.29,1764851059.7984083
-468.57,30.95,522.10,106.58,134.03,13.06,1764851059.7984083
-457.83,29.45,511.13,87.90,37.72,47.10,1764851059.8030407
-442.86,20.84,502.71,87.61,-51.94,71.83,1764851059.8046734
-422.48,24.61,479.35,109.27,-133.85,93.46,1764851059.8060923
-397.51,34.42,438.05,115.68,-217.57,95.94,1764851059.8060923
-372.38,38.41,390.94,124.73,-289.93,103.15,1764851059.8110785
-343.82,14.35,291.65,139.02,-400.64,100.28,1764851059.8128507
-309.20,-11.81,186.40,156.27,-549.05,118.23,1764851059.8147228
-268.82,-33.29,102.19,179.03,-727.39,132.30,1764851059.8164787
-237.95,-75.69,-7.04,158.47,-959.68,190.75,1764851059.817874
-186.81,-20.54,70.22,105.00,-1256.73,245.54,1764851059.82052
-144.23,-1.41,266.24,33.45,-1515.22,275.61,1764851059.8215992
-119.90,22.95,533.35,24.53,-1720.84,310.77,1764851059.824294
-114.96,41.86,760.40,19.95,-1789.11,340.05,1764851059.824294
-122.92,70.98,953.39,-22.94,-1725.34,384.75,1764851059.827794
-129.38,115.53,1117.43,-45.00,-1530.44,401.13,1764851059.8311749
-134.57,132.40,1256.87,-101.25,-1230.68,433.36,1764851059.8334212
-131.04,143.44,1375.39,-80.96,-875.08,445.16,1764851059.8347614
-119.93,138.13,1476.13,-87.42,-481.01,450.39,1764851059.8347614
